"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-10-25 00:50:05"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.94544424","40.82759278","Manhattan","10031","466","WEST 149 STREET","0","297856","109","05/31/2022","7","0","18264121","Not Completed",""
" -73.94940679","40.78933278","Manhattan","10029","124","EAST 101 STREET","0","325584","111","05/31/2022","8","0","678143","Not Completed",""
" -73.94173327","40.79043446","Manhattan","10029","315","EAST 106 STREET","0","294024","111","05/31/2022","8","0","13618707","Not Completed",""
" -73.82683568","40.66987676","Queens","11420","135-055","114 STREET","0","279236","410","05/31/2022","32","0","17381786","Not Completed",""
" -74.01642919","40.67630957","Brooklyn","11231","252","CONOVER STREET","0","279250","306","05/31/2022","38","5663128","637906","Completed","2021-04-27 00:00:00"
" -74.08332963","40.59330135","Staten Island","10305","128","REID AVENUE","0","309546","502","05/31/2022","50","0","661036","Not Completed",""
" -73.93789761","40.81869253","Manhattan","10030","641","LENOX AVENUE","0","295960","110","05/31/2022","9","0","18515395","Not Completed",""
" -74.16761371","40.62747768","Staten Island","10303","11","LILAC COURT","0","307108","501","05/31/2022","49","0","660918","Not Completed",""
" -74.09662823","40.63487924","Staten Island","10301","362","BRIGHTON AVENUE","0","306676","501","05/31/2022","49","0","662835","Not Completed",""
" -73.94073333","40.83808275","Manhattan","10032","559","WEST 164 STREET","0","305562","112","05/31/2022","7","0","7766151","Not Completed",""
" -74.01234696","40.70256903","Manhattan","10004","1","WATER STREET","0","305165","101","05/31/2022","1","0","16563911","Not Completed",""
" -74.08968814","40.59137251","Staten Island","10305","266","BURGHER AVENUE","0","305159","502","05/31/2022","50","0","658947","Not Completed",""
" -73.73976048","40.66210482","Queens","11422","241-002","WELLER AVENUE","0","328365","413","05/31/2022","31","0","686106","Not Completed",""
" -73.94059553","40.76352785","Queens","11106","34-064","9 STREET","0","284865","401","05/31/2022","26","4607798","9891271","Not Completed",""
" -73.92854061","40.76020576","Queens","11106","29-06","34 AVENUE","0","282200","401","05/31/2022","26","0","9466972","Completed","2022-03-07 00:00:00"
" -73.94109649","40.83322647","Manhattan","10032","494","WEST 158 STREET","0","278034","112","05/31/2022","7","0","14247356","Not Completed",""
" -73.75584835","40.69075822","Queens","11412","118-044","195 STREET","0","436510","412","05/31/2022","27","3984318","795423","Not Completed",""
" -73.94010043","40.76401656","Queens","11106","34-041","9 STREET","0","282475","401","05/31/2022","26","0","9891270","Not Completed",""
